epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,377.445,1.34006,1.99957,1.43898,0.68719,0.62656,0.68726,0.43167,1.36676,1.46937,1.40592,0.0700281,0.00333021,0.00333021
2,741.086,1.29613,1.33797,1.36855,0.76113,0.7043,0.77205,0.49133,1.31902,1.18547,1.37159,0.0399621,0.00659758,0.00659758
3,1101.19,1.31849,1.29899,1.382,0.73478,0.65077,0.71157,0.44,1.38508,1.36224,1.42828,0.00983015,0.00979894,0.00979894
4,1461.72,1.32806,1.25002,1.38575,0.80974,0.74022,0.81808,0.52529,1.30123,1.07999,1.37051,0.009703,0.009703,0.009703
5,1823.06,1.26343,1.1108,1.34301,0.87444,0.82567,0.89178,0.60022,1.19066,0.85919,1.25652,0.009604,0.009604,0.009604
6,2184.45,1.22273,1.02056,1.31185,0.86787,0.81456,0.89848,0.61244,1.15931,0.80161,1.22889,0.009505,0.009505,0.009505
7,2543.61,1.1908,0.96123,1.28096,0.90906,0.86602,0.93161,0.65462,1.10893,0.67461,1.19077,0.009406,0.009406,0.009406
8,2903.5,1.16916,0.91075,1.26535,0.91734,0.89449,0.9448,0.67161,1.08972,0.62801,1.17592,0.009307,0.009307,0.009307
9,3260.97,1.14936,0.87584,1.25455,0.92408,0.89279,0.95078,0.68332,1.05848,0.60174,1.15736,0.009208,0.009208,0.009208
10,3616.13,1.13371,0.85299,1.24016,0.92899,0.90681,0.95556,0.69612,1.036,0.5652,1.13677,0.009109,0.009109,0.009109
11,3967.49,1.11526,0.82298,1.22863,0.93539,0.91778,0.9637,0.70567,1.0293,0.53589,1.13446,0.00901,0.00901,0.00901
12,4318.3,1.10131,0.79841,1.21769,0.93706,0.91955,0.9659,0.71344,1.01039,0.52074,1.11849,0.008911,0.008911,0.008911
13,4668.61,1.08885,0.78261,1.21193,0.94383,0.92643,0.9691,0.72182,0.98428,0.50329,1.10654,0.008812,0.008812,0.008812
14,5019.15,1.08218,0.76582,1.20578,0.94196,0.93061,0.9695,0.72865,0.97476,0.48497,1.09139,0.008713,0.008713,0.008713
15,5369.62,1.07294,0.75088,1.19731,0.9428,0.93778,0.97352,0.73473,0.96051,0.4724,1.08195,0.008614,0.008614,0.008614
16,5721.21,1.06596,0.73702,1.19339,0.94603,0.93926,0.97338,0.7376,0.95606,0.46173,1.08042,0.008515,0.008515,0.008515
17,6073.25,1.05629,0.72785,1.18617,0.94759,0.94096,0.97515,0.74153,0.94419,0.45143,1.07256,0.008416,0.008416,0.008416
18,6421.4,1.05281,0.72083,1.18284,0.95347,0.94362,0.97745,0.74707,0.93601,0.44147,1.06767,0.008317,0.008317,0.008317
19,6770.54,1.04768,0.71,1.17618,0.95236,0.94074,0.97737,0.74876,0.92766,0.43799,1.05881,0.008218,0.008218,0.008218
20,7120.89,1.03384,0.69287,1.169,0.94247,0.95402,0.97812,0.75192,0.91982,0.42992,1.05539,0.008119,0.008119,0.008119
21,7472.85,1.03137,0.69455,1.16711,0.95368,0.94859,0.97959,0.75545,0.9151,0.42567,1.05229,0.00802,0.00802,0.00802
22,7825.89,1.02632,0.68488,1.16531,0.95752,0.95056,0.98053,0.75806,0.91085,0.41633,1.04913,0.007921,0.007921,0.007921
23,8178.33,1.02244,0.68015,1.16124,0.95741,0.95203,0.9813,0.76004,0.90615,0.4109,1.04604,0.007822,0.007822,0.007822
24,8440.43,1.01719,0.67038,1.1575,0.95603,0.95234,0.98046,0.76045,0.90362,0.40801,1.04261,0.007723,0.007723,0.007723
25,8661.62,1.01224,0.66473,1.15738,0.95746,0.95459,0.98136,0.7633,0.90003,0.4053,1.04287,0.007624,0.007624,0.007624
26,8883,1.00649,0.65842,1.15195,0.95906,0.95254,0.98154,0.76365,0.89808,0.40299,1.04087,0.007525,0.007525,0.007525
27,9104.39,1.00375,0.65359,1.15099,0.95917,0.95279,0.98227,0.76504,0.89344,0.39991,1.03777,0.007426,0.007426,0.007426
28,9325.76,1.00183,0.64907,1.14679,0.96017,0.95361,0.98281,0.76599,0.89086,0.39749,1.03536,0.007327,0.007327,0.007327
29,9547.02,0.9977,0.64301,1.14447,0.9602,0.95358,0.98247,0.7679,0.88911,0.39593,1.03372,0.007228,0.007228,0.007228
30,9768.61,0.98948,0.6365,1.14142,0.95894,0.95577,0.98279,0.76935,0.88736,0.39411,1.03237,0.007129,0.007129,0.007129
31,9989.94,0.99137,0.63509,1.13956,0.96074,0.95394,0.98285,0.76987,0.88459,0.39171,1.03059,0.00703,0.00703,0.00703
32,10211.3,0.98783,0.63274,1.13593,0.96004,0.95647,0.98295,0.77058,0.88229,0.39043,1.02896,0.006931,0.006931,0.006931
33,10432.7,0.98091,0.62376,1.13538,0.96118,0.95612,0.98307,0.77147,0.8803,0.38909,1.02805,0.006832,0.006832,0.006832
34,10654,0.98036,0.62339,1.13493,0.96355,0.95604,0.98325,0.77198,0.87847,0.38773,1.02713,0.006733,0.006733,0.006733
35,10875.3,0.97684,0.61631,1.13387,0.96097,0.95853,0.98338,0.77236,0.87725,0.38651,1.02632,0.006634,0.006634,0.006634
36,11096.8,0.97304,0.61764,1.13158,0.96092,0.95889,0.98331,0.77299,0.87608,0.38542,1.02561,0.006535,0.006535,0.006535
37,11318.2,0.97196,0.61226,1.12877,0.96251,0.95814,0.98346,0.7736,0.87451,0.38438,1.02496,0.006436,0.006436,0.006436
38,11539.5,0.96551,0.60604,1.12579,0.96271,0.95848,0.98392,0.77448,0.87277,0.38307,1.02397,0.006337,0.006337,0.006337
39,11761,0.95886,0.59648,1.12235,0.96327,0.95945,0.98433,0.77522,0.87115,0.38177,1.02318,0.006238,0.006238,0.006238
40,11982.5,0.96293,0.59704,1.12111,0.96209,0.96092,0.98428,0.7754,0.86943,0.38072,1.02209,0.006139,0.006139,0.006139
41,12203.9,0.95556,0.59113,1.11943,0.96181,0.96113,0.98454,0.77621,0.86824,0.37944,1.02131,0.00604,0.00604,0.00604
42,12425.3,0.95611,0.59143,1.11985,0.96255,0.96075,0.98457,0.77637,0.86707,0.3783,1.02053,0.005941,0.005941,0.005941
43,12646.8,0.95244,0.59028,1.11783,0.9628,0.96129,0.98478,0.77642,0.86544,0.37735,1.01949,0.005842,0.005842,0.005842
44,12868,0.94892,0.5861,1.11297,0.96067,0.96245,0.98498,0.77755,0.86404,0.37618,1.01844,0.005743,0.005743,0.005743
45,13089.5,0.94695,0.58244,1.11413,0.96123,0.96245,0.98504,0.77821,0.86269,0.37536,1.01769,0.005644,0.005644,0.005644
46,13310.9,0.94038,0.58012,1.11066,0.95982,0.96375,0.98534,0.7791,0.86133,0.37441,1.01687,0.005545,0.005545,0.005545
47,13532.3,0.93946,0.57295,1.10882,0.96161,0.9626,0.98518,0.77974,0.85999,0.37325,1.01596,0.005446,0.005446,0.005446
48,13753.8,0.93788,0.57439,1.10849,0.96197,0.96366,0.98537,0.78027,0.85902,0.37209,1.01535,0.005347,0.005347,0.005347
49,13975.4,0.93539,0.56954,1.10644,0.96133,0.96408,0.98532,0.78067,0.8575,0.37073,1.01426,0.005248,0.005248,0.005248
50,14196.7,0.93337,0.5616,1.10345,0.96152,0.96478,0.98544,0.7808,0.85597,0.36927,1.01338,0.005149,0.005149,0.005149
51,14418.2,0.93298,0.56336,1.10732,0.96293,0.9643,0.98575,0.78171,0.85467,0.36809,1.01279,0.00505,0.00505,0.00505
52,14639.7,0.92595,0.5625,1.10181,0.96443,0.96281,0.98577,0.78258,0.85317,0.36707,1.01206,0.004951,0.004951,0.004951
53,14861.1,0.92576,0.55725,1.10176,0.9645,0.96272,0.98569,0.7833,0.85166,0.36585,1.01118,0.004852,0.004852,0.004852
54,15082.6,0.92469,0.5532,1.10086,0.9646,0.96259,0.98575,0.78415,0.85023,0.36469,1.01021,0.004753,0.004753,0.004753
55,15304.1,0.91831,0.55227,1.09679,0.96472,0.963,0.98602,0.78484,0.84881,0.36369,1.00916,0.004654,0.004654,0.004654
56,15525.5,0.91708,0.54896,1.09867,0.96506,0.96219,0.98604,0.78541,0.84735,0.36278,1.0085,0.004555,0.004555,0.004555
57,15747,0.91151,0.54483,1.09432,0.96581,0.96137,0.98605,0.78591,0.84603,0.36176,1.00784,0.004456,0.004456,0.004456
58,15968.3,0.91253,0.54259,1.0942,0.96574,0.96246,0.98631,0.78625,0.84462,0.36057,1.007,0.004357,0.004357,0.004357
59,16189.4,0.90631,0.53796,1.09365,0.96642,0.96283,0.98648,0.78678,0.84334,0.35941,1.00635,0.004258,0.004258,0.004258
60,16411.1,0.90559,0.53786,1.09052,0.96536,0.96431,0.98655,0.78735,0.84211,0.35824,1.00565,0.004159,0.004159,0.004159
61,16632.6,0.90234,0.53546,1.09108,0.96392,0.96539,0.98678,0.78793,0.84054,0.35706,1.00499,0.00406,0.00406,0.00406
62,16853.8,0.90215,0.53469,1.08798,0.96459,0.96576,0.98687,0.78857,0.83919,0.35654,1.00416,0.003961,0.003961,0.003961
63,17075.2,0.89828,0.52826,1.08532,0.96421,0.96624,0.98697,0.78947,0.83781,0.35549,1.00335,0.003862,0.003862,0.003862
64,17296.7,0.89245,0.52472,1.08487,0.96378,0.96768,0.98721,0.79001,0.83643,0.3545,1.00269,0.003763,0.003763,0.003763
65,17517.9,0.89086,0.51893,1.08441,0.96369,0.96814,0.98737,0.79055,0.83546,0.35348,1.00218,0.003664,0.003664,0.003664
66,17739.5,0.8923,0.5214,1.08385,0.96411,0.96801,0.98758,0.79141,0.83437,0.35264,1.00153,0.003565,0.003565,0.003565
67,17960.9,0.88914,0.51638,1.08067,0.96448,0.96687,0.98752,0.79248,0.83305,0.3515,1.00089,0.003466,0.003466,0.003466
68,18182.3,0.88629,0.51523,1.07991,0.96559,0.96685,0.98767,0.79276,0.83174,0.35052,1.00019,0.003367,0.003367,0.003367
69,18403.9,0.88559,0.51151,1.07658,0.96545,0.96688,0.98764,0.79365,0.83035,0.34918,0.99929,0.003268,0.003268,0.003268
70,18625.4,0.8766,0.50729,1.07483,0.9675,0.96534,0.98764,0.79466,0.82894,0.34823,0.99848,0.003169,0.003169,0.003169
71,18846.8,0.8738,0.50133,1.07303,0.96852,0.96284,0.98767,0.79506,0.8275,0.34703,0.99765,0.00307,0.00307,0.00307
72,19068.2,0.87409,0.50126,1.07083,0.96756,0.96517,0.9877,0.79559,0.82606,0.34621,0.99685,0.002971,0.002971,0.002971
73,19289.6,0.87113,0.49862,1.06963,0.96681,0.96613,0.988,0.7968,0.82466,0.34541,0.99591,0.002872,0.002872,0.002872
74,19511.1,0.86672,0.49478,1.06866,0.96894,0.96396,0.98805,0.79739,0.82344,0.34475,0.99536,0.002773,0.002773,0.002773
75,19732.2,0.86555,0.49389,1.07039,0.96838,0.96436,0.98805,0.79793,0.82219,0.34383,0.99478,0.002674,0.002674,0.002674
76,19953.8,0.85992,0.48902,1.0664,0.96995,0.96252,0.98784,0.79866,0.82078,0.34321,0.99402,0.002575,0.002575,0.002575
77,20175.3,0.85933,0.48643,1.06327,0.96882,0.9638,0.98795,0.7993,0.81943,0.34215,0.99324,0.002476,0.002476,0.002476
78,20396.7,0.85627,0.48568,1.06343,0.96974,0.96331,0.98822,0.80008,0.8181,0.34129,0.99257,0.002377,0.002377,0.002377
79,20617.9,0.85385,0.48199,1.06475,0.96998,0.96259,0.98803,0.8002,0.81681,0.34052,0.99198,0.002278,0.002278,0.002278
80,20839.3,0.84957,0.47875,1.06309,0.96956,0.96345,0.98817,0.80076,0.81525,0.33966,0.99111,0.002179,0.002179,0.002179
81,21060.5,0.84335,0.47324,1.05774,0.96917,0.96411,0.98837,0.80146,0.81419,0.33867,0.99059,0.00208,0.00208,0.00208
82,21281.9,0.84168,0.47335,1.05414,0.9665,0.96773,0.98849,0.80195,0.8127,0.33795,0.98972,0.001981,0.001981,0.001981
83,21503.3,0.8397,0.46852,1.05405,0.96691,0.96831,0.98864,0.80245,0.81126,0.33714,0.98892,0.001882,0.001882,0.001882
84,21724.5,0.83712,0.46479,1.05553,0.967,0.96847,0.98864,0.80314,0.81007,0.33615,0.98821,0.001783,0.001783,0.001783
85,21946,0.83686,0.46629,1.05475,0.96694,0.96833,0.98867,0.80425,0.80869,0.33528,0.98751,0.001684,0.001684,0.001684
86,22167.5,0.83016,0.45992,1.05195,0.96711,0.96851,0.9887,0.80507,0.80736,0.3344,0.98693,0.001585,0.001585,0.001585
87,22388.8,0.8277,0.45728,1.0512,0.96844,0.96849,0.98891,0.80563,0.80597,0.33371,0.98633,0.001486,0.001486,0.001486
88,22609.9,0.82314,0.45463,1.04661,0.96839,0.96838,0.989,0.80632,0.80442,0.33281,0.98558,0.001387,0.001387,0.001387
89,22831.6,0.81873,0.4464,1.04475,0.96865,0.96879,0.98911,0.80662,0.80303,0.33186,0.98483,0.001288,0.001288,0.001288
90,23053,0.81516,0.44373,1.04458,0.96861,0.96919,0.9893,0.80706,0.80138,0.33104,0.9839,0.001189,0.001189,0.001189
91,23295.2,0.80339,0.37064,1.03296,0.96899,0.96923,0.98943,0.80779,0.79947,0.3301,0.98266,0.00109,0.00109,0.00109
92,23515.5,0.78623,0.35628,1.01846,0.96879,0.96947,0.98945,0.80874,0.79756,0.32935,0.98126,0.000991,0.000991,0.000991
93,23735.3,0.77679,0.35005,1.02086,0.96894,0.96951,0.98944,0.80982,0.79585,0.32819,0.9805,0.000892,0.000892,0.000892
94,23955.1,0.76965,0.35082,1.01956,0.96883,0.96926,0.9899,0.81054,0.79402,0.32733,0.97976,0.000793,0.000793,0.000793
95,24175.4,0.76253,0.3437,1.01218,0.9704,0.96879,0.98999,0.81113,0.79215,0.32615,0.9788,0.000694,0.000694,0.000694
96,24395.4,0.75929,0.33699,1.01308,0.97086,0.96877,0.9901,0.81201,0.79031,0.32537,0.97785,0.000595,0.000595,0.000595
97,24615.2,0.74987,0.33632,1.00863,0.97136,0.96893,0.99016,0.81296,0.78862,0.32443,0.97696,0.000496,0.000496,0.000496
98,24835.4,0.74861,0.33365,1.00779,0.9715,0.97014,0.9902,0.81363,0.78698,0.32377,0.97624,0.000397,0.000397,0.000397
99,25055.6,0.73955,0.32648,1.0009,0.97073,0.97034,0.99018,0.81421,0.78531,0.32316,0.97535,0.000298,0.000298,0.000298
